age,education-num,sex,capital-gain,hours-per-week,salary
39,13, Male,2174,40, <=50K
50,13, Male,0,13, <=50K
38,9, Male,0,40, <=50K
53,7, Male,0,40, <=50K
28,13, Female,0,40, <=50K
37,14, Female,0,40, <=50K
49,5, Female,0,16, <=50K
52,9, Male,0,45, >50K
31,14, Female,14084,50, >50K
42,13, Male,5178,40, >50K
37,10, Male,0,80, >50K
30,13, Male,0,40, >50K
23,13, Female,0,30, <=50K
32,12, Male,0,50, <=50K
40,11, Male,0,40, >50K
34,4, Male,0,45, <=50K
25,9, Male,0,35, <=50K
32,9, Male,0,40, <=50K
38,7, Male,0,50, <=50K
43,14, Female,0,45, >50K
40,16, Male,0,60, >50K
54,9, Female,0,20, <=50K
35,5, Male,0,40, <=50K
43,7, Male,0,40, <=50K
59,9, Female,0,40, <=50K
56,13, Male,0,40, >50K
19,9, Male,0,40, <=50K
54,10, Male,0,60, >50K
39,9, Male,0,80, <=50K
49,9, Male,0,40, <=50K
23,12, Male,0,52, <=50K
20,10, Male,0,44, <=50K
45,13, Male,0,40, <=50K
30,10, Male,0,40, <=50K
22,10, Male,0,15, <=50K
48,7, Male,0,40, <=50K
21,10, Male,0,40, <=50K
19,9, Female,0,25, <=50K
31,10, Male,0,38, >50K
48,12, Male,0,40, <=50K
31,5, Male,0,43, <=50K
53,13, Male,0,40, <=50K
24,13, Male,0,50, <=50K
49,9, Female,0,40, <=50K
25,9, Male,0,35, <=50K
57,13, Male,0,40, >50K
53,9, Male,0,38, <=50K
44,14, Female,0,40, <=50K
41,11, Male,0,40, <=50K
29,11, Male,0,43, <=50K
25,10, Female,0,40, <=50K
18,9, Female,0,30, <=50K
47,15, Female,0,60, >50K
50,13, Male,0,55, >50K
47,9, Male,0,60, <=50K
43,10, Male,0,40, >50K
46,3, Male,0,40, <=50K
35,11, Male,0,40, <=50K
41,9, Male,0,48, <=50K
30,9, Male,5013,40, <=50K
30,13, Male,2407,40, <=50K
32,4, Male,0,40, <=50K
48,9, Male,0,40, <=50K
42,16, Male,0,45, >50K
29,10, Male,0,58, <=50K
36,9, Male,0,40, <=50K
28,10, Female,0,40, <=50K
53,9, Female,0,40, >50K
49,10, Male,0,50, >50K
25,10, Male,0,40, <=50K
19,10, Male,0,32, <=50K
31,13, Female,0,40, <=50K
29,13, Male,0,70, >50K
23,10, Male,0,40, <=50K
79,10, Male,0,20, <=50K
27,9, Male,0,40, <=50K
40,12, Male,0,40, <=50K
67,6, Male,0,2, <=50K
18,7, Female,0,22, <=50K
31,4, Male,0,40, <=50K
18,9, Male,0,30, <=50K
52,13, Male,0,40, <=50K
46,9, Female,0,40, <=50K
59,9, Male,0,48, <=50K
44,9, Female,14344,40, >50K
53,9, Female,0,35, <=50K
49,9, Male,0,40, >50K
33,14, Male,0,50, <=50K
30,5, Male,0,40, <=50K
43,16, Female,0,50, >50K
57,11, Male,0,40, <=50K
37,10, Female,0,40, <=50K
28,10, Female,0,25, <=50K
30,9, Female,0,35, <=50K
34,13, Male,0,40, >50K
29,10, Male,0,50, <=50K
48,16, Male,0,60, >50K
37,10, Male,0,48, >50K
48,12, Female,0,40, <=50K
